BreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,Weather,hypoallergenic
Affenpinscher,Toy,Companion,4,"Active, Adventurous, Curious, Fun loving, Playful, Stubborn",no,apartment ,moderate,yes,not particular,very independent,medium,seasonal,warm,yes
Afghan Hound,Sporting,Sight,28,"Aloof, Clownish, Dignified, Happy, Independent",no,apartment ,low,yes,meat rich,not independent,high,frequent,hot,yes
African Hunting Dog,Hunting,,23,Wild,yes,ranch,high,no,meat rich,very independent,high,low,hot,no
Airedale Terrier,Terrier,Terrier,26,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",no,independent house,high,yes,not particular,not independent,high,low,warm,no
Akbash,Working,Guardian,53,"Affectionate, Alert, Courageous, Independent, Intelligent, Loyal",yes,ranch,moderate,yes,meat rich,very independent,low,frequent,cold,no
Akita,Working,Herding,44,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",yes,ranch,high,no,not particular,not independent,high,frequent,cold,no
Alaskan Malamute,Working,Northern,40,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",no,ranch,high,yes,meat rich,not independent,high,frequent,cold,no
American Bulldog,Working,Guardian,38,"Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out going, Social",yes,ranch,low,yes,meat rich,not independent,high,low,warm,no
American Eskimo Dog,Non Sporting,Northern,8,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",no,apartment ,high,yes,not particular,moderate,high,frequent,cold,no
American Hairless Terrier,Terrier,Terrier,5,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",no,apartment ,moderate,yes,not particular,not independent,high,low,warm,yes
American Staffordshire Terrier,Terrier,Terrier,28,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",no,independent house,high,yes,not particular,not independent,medium,low,warm,no
American Water Spaniel,Sporting,Gun,16,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",yes,ranch,moderate,yes,meat rich,not independent,high,seasonal,warm,no
Anatolian Shepherd,Working,Guardian,52,"Bold, Confident, Independent, Intelligent, Proud, Steady",yes,ranch,low,no,meat rich,moderate,medium,low,cold,no
Appenzell Mountain Dog,Working,Guardian,27,"Energetic, Fearless, Lively, Reliable, Self assured, Social",yes,ranch,high,yes,meat rich,not independent,high,seasonal,cold,no
Australian Cattle Dog,Herding,Herding,21,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",yes,independent house,low,yes,meat rich,moderate,high,seasonal,hot,no
Australian Kelpie,Working,Herding,16,"Alert, Eager, Energetic, Friendly, Intelligent, Loyal, Robust",yes,independent house,high,no,meat rich,not independent,high,seasonal,warm,no
Australian Shepherd,Terrier,Terrier,27,"Active, Affectionate, Friendly, Good-natured, Intelligent, Protective, Loving",yes,ranch,high,yes,not particular,not independent,high,seasonal,warm,no
Australian Terrier,Terrier,Terrier,5,"Alert, Compassionate, Courageous, Even Tempered, Loyal, Spirited, Intelligent",no,apartment ,high,yes,not particular,not independent,high,low,warm,no
Bakharwal,Herding,Hunting,25,"Courageous, Obedient, Loyal, Protective, Loving",yes,ranch,high,yes,meat rich,very independent,high,seasonal,cold,no
Basenji,Hound,Sight,11,"Affectionate, Alert, Curious, Energetic, Playful, Intelligent",yes,apartment ,low,yes,meat rich,very independent,high,low,warm,yes
Basset Hound,Hound,Scenthound,26,"Affectionate, Devoted, Friendly, Gentle, Sweet tempered, Tenacious",no,apartment ,high,yes,not particular,moderate,low,frequent,warm,no
Beagle,Hound,Scenthound,11,"Friendly, Gentle, Independent, Intelligent, Lively, Loving, Sweet",no,apartment ,high,yes,not particular,not independent,high,seasonal,warm,no
Bearded Collie,Herding,Herding,23,"Active, Alert, Hardy, Intelligent, Lively, Self confident",yes,independent house,moderate,yes,meat rich,not independent,high,frequent,cold,no
Beauceron,Herding,Herding,50,"Courageous, Obedient, Loyal, Protective, Loving",yes,ranch,high,no,meat rich,very independent,high,seasonal,warm,no
Bedlington Terrier,Terrier,Terrier,9,"Affectionate, Devoted, Energetic, Loyal, Playful, Reliable, Intelligent",no,apartment ,moderate,yes,not particular,moderate,high,frequent,cold,yes
Belgian Shepherd Dog Sheepdog,Herding,Herding,32,"Active, Alert, Confident, Friendly, Hard working, Protective, Stubborn, Watchful, Intelligent",yes,independent house,low,yes,meat rich,moderate,high,frequent,cold,no
Belgian Shepherd Laekenois,Herding,Herding,28,"Active, Alert, Energetic, Lively, Protective, Watchful",yes,independent house,moderate,yes,meat rich,very independent,high,frequent,cold,no
Belgian Shepherd Malinois,Herding,Herding,27,"Active, Alert, Confident, Friendly, Hard working, Protective, Stubborn, Watchful",yes,independent house,moderate,yes,meat rich,very independent,high,seasonal,warm,no
